mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_stft_mean,spectral_contrast_mean,tonnetz_mean,tempo,file
-140.66052,81.24639,32.121136,5.097977,-1.8190087,1.776406,3.3218434,-10.779214,2.3388944,-4.8685784,-10.733532,2.185348,-11.621416,0.35951975,25.289069703995043,0.00019673841762498647,89.10290948275862,to boodi
-116.81372,118.10229,19.337109,14.508271,11.395155,1.7207117,1.2307054,4.6827865,-2.4099388,8.955094,-0.6874241,3.659486,1.1552879,0.3722437,23.539969832194956,0.0280732491693784,86.1328125,Behzad Leito & AFX - Dadim Raft Toro (Ft. Sogand)
-97.379456,92.725266,25.02895,17.486902,16.166496,2.547001,8.814634,5.961414,-3.2309093,8.327145,-6.698401,0.32247028,-4.3582587,0.45434466,23.57264333232484,-0.06441960897998056,103.359375,Gharibe Ashna - Ahood x Soha x Hoodadk4 x Dalu [HN.BEATZ]
-73.779175,95.604195,18.405039,14.643151,14.451812,2.8899999,-2.7981713,2.6373806,-4.4215474,5.1678615,-4.404475,-0.50901806,-1.7652075,0.36359382,23.52085966892795,0.06534667478344364,117.45383522727273,Na Dige Na (Ft I.Da)Tik Taak - تیک تاک نه دیگه نه
-90.94199,68.06858,2.5215766,14.788466,4.7622595,7.2350836,-0.40052044,7.912242,-8.931492,9.583453,-3.541006,2.9956212,-1.0698797,0.49003488,23.58105222678718,-0.007233229890453127,95.703125,La Mamura-Hiphopologist Ft. Vinak
-109.17288,91.52669,18.111689,15.368899,8.437014,7.1535363,0.0028879023,3.6055915,-5.354714,4.215034,-0.7484512,1.890622,-2.2837503,0.40069103,22.732971165163956,0.0036066516916492494,92.28515625,Wantons Mix _ arta & koorosh & samilow & raha ｜ ریمیکس وانتونز _ آرتا & کوروش & سامی لو & رها
-108.40102,94.617256,19.196472,15.766855,6.5040464,1.5286987,-3.5710778,-1.2550383,-13.677657,-0.92166,-6.2496376,2.7815354,-2.0503566,0.36658692,23.75222208501187,0.007489813567905922,129.19921875,Mage Man Mordam - Koorosh x Gdaal x Hoomaan x Hiphopologist x Vinak [HN.BEATZ]
-134.04388,109.267685,30.543774,23.01034,14.7865715,6.648173,9.245206,1.4086838,-8.473449,3.9483283,-3.7676494,3.06364,-5.6213875,0.3936502,23.342049717709244,0.01586041938425745,103.359375,5.Doori o Doosti
-132.96907,106.27132,27.439394,13.762733,14.712877,7.222345,0.8034296,1.3451613,-5.6272,2.273221,-2.2156694,0.53424436,-2.646372,0.3845973,23.3565441871866,0.017368690247575175,117.45383522727273,"Koorosh, Sijal, Sami Low, Raha - Extasy ｜ OFFICIAL TRACK"
-120.86769,118.88371,13.825865,20.431625,10.534468,8.931355,-3.244933,6.2356954,-9.682414,-1.4685802,-10.307799,-0.38333136,-4.099814,0.38046983,23.254644753467613,0.034193917073141,89.10290948275862,Boodi Yaram - Sepehr Khalse ( Feat. Sijal & Hoomaan )
-171.14352,86.914,28.362309,0.49722764,3.6984012,7.461098,-4.448692,-2.5101008,-7.5901203,-4.341953,-9.096695,-6.3991647,-7.67992,0.35764658,23.537186168865436,0.07356963122802782,123.046875,Raha x Koorosh - Gharibe
-104.42066,105.682304,18.69019,13.855124,6.1155176,5.531625,-3.98331,2.3691056,-7.5922985,1.6617658,-4.5228834,-0.52984965,-2.4942029,0.37683737,22.732809380623564,-0.0018810029197961528,117.45383522727273,Oh No (feat. Behzad Leito & Sepehr Khalse)
-68.72894,77.10257,18.59289,19.60723,12.655407,13.974589,4.1853766,10.0213785,-6.62417,3.1255186,-2.0635087,2.0502875,-1.7022982,0.4323089,21.887742857323794,0.02193578492457625,103.359375,Shol Tekoon
-72.05346,54.633575,-7.660692,13.049709,-2.0957937,0.704367,-9.542557,-0.7533869,-10.649634,-2.344754,-2.474425,3.1941566,-3.380185,0.45067835,22.10380140174354,0.02896250870776927,143.5546875,Catchybeatz X Kagan - Casablanca
-106.43432,101.626595,27.16455,17.28181,8.188912,4.9787054,0.19070807,0.95014715,-1.3666543,1.7297353,-1.2625434,5.4755,-0.3716627,0.38431153,23.172434081669326,0.003518498037112941,161.4990234375,Khalse  - Heif  (official audio)
-91.83841,84.52268,5.8426085,24.60926,9.536916,-2.3423967,2.893397,-0.52725005,-14.190929,6.9114375,-7.741406,-0.2769102,1.567728,0.38464943,24.501418694881682,0.05308390283385831,99.38401442307692,Hiphopologist & Vinak - Belaad Party
-99.77313,79.15379,2.5172381,5.972495,-3.0023918,1.5944499,-8.983216,-3.037898,-13.045968,7.8980136,-4.128986,1.2158269,-1.8204329,0.382758,25.20140280663661,-0.012680674870373191,151.99908088235293,Bi Marefat (Mr Kiarash Ft. Poobon And Behzad Leito)
-125.20405,102.223854,19.2723,10.772009,12.9304285,9.100804,0.16132256,2.5803595,-6.05506,7.399326,-1.9465528,4.4974566,0.47583026,0.48623708,22.620377857249885,-0.01696654262306927,117.45383522727273,"05 - SamiLow -  V.I.P (Ft. Koorosh , Arta) - (Official Audio)"
-112.36282,108.04493,17.438124,13.4309435,13.484704,11.769984,6.8328366,6.541808,2.8577783,11.822131,-0.44645068,2.548221,-0.69741386,0.41191235,24.634733064080983,0.016751255534767643,123.046875,Saaren - Tera.wav
-117.18979,109.71262,34.597145,18.721064,5.1302924,13.022582,-0.32065454,-0.65169954,-7.774915,-0.9918802,-5.4084077,-2.8968718,-5.001791,0.3575405,22.86657739337359,0.026799341653532444,89.10290948275862,Koorosh - Un Momento
-49.65518,78.46573,7.326938,10.208102,5.2445035,-0.5975522,-0.27396765,4.1897497,3.4581869,11.2220545,-0.6322121,-0.7302129,-4.763561,0.33910397,23.332479093920274,-0.042938091632839334,83.35433467741936,Pesar e Bad
-112.47495,108.02685,17.432684,13.423588,13.473903,11.771915,6.833932,6.5401793,2.843273,11.822035,-0.45004818,2.552778,-0.70123637,0.41189122,24.637947275566297,0.01658104773455732,123.046875,Saaren - TERA
-139.29782,85.3966,39.727978,14.149493,22.491089,13.176429,0.74034435,7.4900503,-9.3418865,4.239688,-1.6396708,-0.25357044,-6.7830787,0.3551883,23.81244786593399,-0.046724831507890315,99.38401442307692,Khoone Naboodesh
-93.08316,96.871506,10.790582,13.616304,12.342003,1.4643248,-0.08250407,6.8815255,-1.8046117,0.42797434,-2.9592268,5.772574,-2.2422357,0.43498537,22.907858504623846,0.007229491476128089,103.359375,Kalafe - Vinak (Without Ramin Tajangi)
-95.69503,87.87314,14.9040165,9.699918,15.153188,3.8412156,0.21429542,1.455051,-3.632512,-3.055717,-4.805765,-7.4617066,-3.9232557,0.35210973,23.549601052700975,-0.03840147598230922,117.45383522727273,Terminal (Ft. Sohrab Mj X Shayan Esraghi X Nassim)
-111.498116,92.508835,-9.159867,28.323288,8.162829,-0.5636179,6.4894586,-1.3288211,-7.5879827,5.5622478,-2.579286,4.2935557,2.5929077,0.41745576,24.566601426766173,0.010401613043763594,89.10290948275862,Bad Zaat
-167.70146,99.38661,15.537188,5.703778,-4.672311,-2.1657994,-6.626516,-9.812585,-15.639072,-2.1923487,-11.424248,-7.0086102,-2.2042668,0.30858487,24.97497662105346,0.06367652993696853,151.99908088235293,Dashte Parvaneha (feat. Sogand)
-70.43485,78.78326,13.367103,35.547977,13.432491,13.148303,4.6838875,5.6339207,-3.5740924,5.382176,-5.523325,3.8314786,-1.7591798,0.43544245,22.625732548488674,0.04926927773547695,129.19921875,Fedi - Dokhtar Koochooloo.wav
-152.93742,86.05097,34.182987,8.608611,14.377643,4.4436307,2.4671404,-1.2468193,-26.817892,-1.8182659,-2.8718495,-4.6879563,-7.8306546,0.32321703,24.51534021381083,0.04619181064331421,151.99908088235293,Telesm (Acoustic version) .Chvrsi ft.(shayan eshraghi)
-99.36677,109.64214,21.821756,18.08507,6.1966577,1.2769287,-8.1446,-1.949669,-8.082373,0.5253017,-1.7483687,-0.6790371,-4.0407457,0.3295729,23.058307713845338,-0.028048408546554663,143.5546875,"Behesh Begid (Ft Arta, Sepehr Khalse, & PDC)"
